geonameid,Place Name,latitude,longitude,feature_class,Category,State Code,City Code,Estimated Visitors,Tourism Rank,Popularity Level
10686361,Maina Sati,24.81708,81.1226,S,Temple,35.0,430.0,20000,2.83,Less Explored
10686765,Shah Changi Ziarat,32.01729,75.58898,S,Shrine,23.0,38.0,10000,2.81,Less Explored
10686774,Ziarat Muhabbat Shah,32.01201,75.57589,S,Shrine,23.0,38.0,10000,2.81,Less Explored
10686963,Bela Andaura,32.07625,75.70692,T,Island,11.0,Unknown,10000,2.81,Less Explored
10686980,Kahju Pir Ziarat,32.00672,75.72097,S,Shrine,23.0,38.0,10000,2.81,Less Explored
10687305,Koteshwar Temple,22.08125,74.79104,S,Temple,35.0,438.0,20000,2.83,Less Explored
10687935,Dholu Ther,32.40237,75.93102,T,Mountain,11.0,23.0,5000,2.79,Less Explored
10688134,Hattimal,20.73608,74.03075,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688151,Maujapada,21.82767,74.04581,T,Mountain,16.0,497.0,5000,2.79,Less Explored
10688173,Handev Dongar,21.99181,74.07591,T,Mountain,9.0,668.0,5000,2.79,Less Explored
10688196,Jalola,21.86422,74.13774,T,Mountain,16.0,497.0,5000,2.79,Less Explored
10688408,Nilva Dongar,20.60301,74.03365,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688411,Munjla,20.56781,74.03636,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688426,Dirbhavjai,20.60475,74.07133,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688439,Kutra Dongar,20.73199,74.05573,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688442,Mulher Dongar,20.75168,74.06195,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688477,Kumbaria,20.70649,74.16776,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688485,Javlia Dongar,20.67322,74.18782,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688494,Nichola Dongar,20.69133,74.1955,T,Mountain,16.0,516.0,5000,2.79,Less Explored
10688682,Vajirkhede,20.82681,74.90782,S,Temple,16.0,498.0,20000,2.83,Less Explored
10688804,Mamleshwar,20.04945,74.04317,S,Temple,16.0,516.0,20000,2.83,Less Explored
10688814,Baneshwar,20.04435,74.06826,S,Temple,16.0,516.0,20000,2.83,Less Explored
10688839,Sangameshwar,20.01631,74.12946,S,Temple,16.0,516.0,20000,2.83,Less Explored
10688843,Madmeshwar,20.0148,74.13758,S,Temple,16.0,516.0,20000,2.83,Less Explored
10689260,Topaliya,22.33778,75.61686,T,Mountain,35.0,440.0,5000,2.79,Less Explored
10689334,Jam Darwaza,22.35819,75.7371,S,Temple,35.0,440.0,20000,2.83,Less Explored
10689336,Barkhya,22.34692,75.71366,T,Mountain,35.0,440.0,5000,2.79,Less Explored
10689337,Dholgunda,22.34415,75.67458,T,Mountain,35.0,439.0,5000,2.79,Less Explored
10689356,Singarchori,22.41125,75.67417,T,Mountain,35.0,439.0,5000,2.79,Less Explored
10689365,Ashapuri,22.42622,75.64585,T,Mountain,35.0,439.0,5000,2.79,Less Explored
10689369,Janapao Temple,22.46008,75.68756,S,Temple,35.0,439.0,20000,2.83,Less Explored
10689544,Bijasini,22.73036,75.79852,S,Shrine,35.0,439.0,10000,2.81,Less Explored
10689623,Devdharmraja Temple,22.55278,75.88707,S,Temple,35.0,439.0,20000,2.83,Less Explored
10689646,Kavadeshwar Temple,22.6201,75.98084,S,Temple,35.0,439.0,20000,2.83,Less Explored
10689659,Devguradya,22.66925,75.93166,T,Mountain,35.0,439.0,5000,2.79,Less Explored
10689702,Jhopla,22.46359,75.8534,T,Mountain,35.0,439.0,5000,2.79,Less Explored
10689706,Dhajari,22.45022,75.85179,T,Mountain,35.0,439.0,5000,2.79,Less Explored
10689707,Mehndirundi,22.44514,75.85722,T,Mountain,35.0,439.0,5000,2.79,Less Explored
10689709,Dhajara,22.43144,75.81388,T,Mountain,35.0,439.0,5000,2.79,Less Explored
10689716,Dhajari,22.40343,75.82686,T,Mountain,35.0,440.0,5000,2.79,Less Explored
10689722,Tumbayimata,22.37158,75.84202,S,Shrine,35.0,440.0,10000,2.81,Less Explored
10689954,Dharesar Temple,22.1957,75.91591,S,Temple,35.0,440.0,20000,2.83,Less Explored
10689959,Gaumukh Temple,22.19112,75.97196,S,Temple,35.0,440.0,20000,2.83,Less Explored
10690199,Nimbadevi Bari,21.28023,75.626,S,Temple,16.0,499.0,20000,2.83,Less Explored
10690207,Satpuda Range,21.31831,75.63437,T,Mountain Range,16.0,Unknown,10000,2.81,Less Explored
10690387,Ballar,22.94369,80.17922,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10690678,Surpalnath Hill,20.23833,75.08021,T,Mountain,16.0,515.0,5000,2.79,Less Explored
10690922,Kacher,20.44334,75.42359,S,Temple,16.0,515.0,20000,2.83,Less Explored
10691134,Kodiwara,22.74491,80.18005,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10691138,Samarkudni,22.72847,80.214,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10691139,Hazaridadar,22.73747,80.22295,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10691141,Tiltilimatta,22.74288,80.23167,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10691142,Berra,22.72599,80.22495,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10691143,Hiragarhi,22.71743,80.22323,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10691151,Ranikol,22.71132,80.20897,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10691157,Damchari,22.72278,80.24435,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10691377,Mehngal,32.06464,75.83085,S,Temple,11.0,24.0,20000,2.83,Less Explored
